features,scaled,rand,sse,sil,fm,clusters
all,0,0.498609022556391,4639419.05383277,-0.004762217500335757,0.33931656327701165,5
MinTemp,1,0.5050877192982456,18.334574958021168,0.004932457323727648,0.3065658664326382,6
MinTemp,0,0.5050877192982456,709.0447976329682,0.004932457323727648,0.3065658664326382,6
MaxTemp,1,0.5070551378446115,22.644197405593168,0.015186127336687179,0.3355487702890772,6
MaxTemp,0,0.5070551378446115,1154.765131711759,0.015186127336687179,0.3355487702890772,6
Rainfall,1,0.5490350877192982,4.776182081571995,0.1965306670152495,0.5854328278137123,6
Rainfall,0,0.5490350877192982,989.6335381144444,0.1965306670152495,0.5854328278137123,6
WindGustDir,1,0.49971177944862155,9.704739566678997,-0.001003225493511729,0.29980190576618626,6
WindGustDir,0,0.49971177944862155,101887.99629052408,-0.001003225493511729,0.29980190576618626,6
WindGustSpeed,1,0.5041478696741855,22.4718214242422,0.005520642388679244,0.3392198677091335,6
WindGustSpeed,0,0.5041478696741855,4260.59280238906,0.005520642388679244,0.3392198677091335,6
WindDir9am,1,0.5007769423558898,9.845949205001865,0.0031576610355764922,0.3067970399006445,6
WindDir9am,0,0.49917293233082705,99735.2778944955,-0.0022279801221047574,0.3033469725526765,6
WindDir3pm,1,0.5031954887218045,10.421448522226898,0.003941326899547299,0.3015586595579582,6
WindDir3pm,0,0.5031954887218045,117394.95796327638,0.003941326899547299,0.3015586595579582,6
WindSpeed9am,1,0.49911027568922306,20.71815756735802,-0.0016592505618550852,0.33325765563481685,6
WindSpeed9am,0,0.49911027568922306,1668.8568540783879,-0.0016592505618550852,0.33325765563481685,6
WindSpeed3pm,1,0.49906015037593987,20.131748191047905,-0.003450364211900804,0.3308426931021301,6
WindSpeed3pm,0,0.4990225563909774,1920.0423226988146,-0.0033635291138043475,0.34299580728290857,6
Humidity9am,1,0.5177944862155388,17.785159791194914,0.031009248070740698,0.3459303165038456,6
Humidity9am,0,0.5177944862155388,5196.703633042613,0.031009248070740698,0.3459303165038456,6
Humidity3pm,1,0.5359022556390978,14.496331688161444,0.02338552170264468,0.35867365770118426,6
Humidity3pm,0,0.5359022556390978,7265.845937528668,0.02338552170264468,0.35867365770118426,6
Pressure9am,1,0.5060150375939849,23.563615507427073,0.014432504222782775,0.34645239738856054,6
Pressure9am,0,0.5060150375939849,1080.522151431463,0.014432504222782775,0.34645239738856054,6
Pressure3pm,1,0.5040350877192983,24.460912418409098,0.0004997447021289219,0.33828298624700626,6
Pressure3pm,0,0.5040350877192983,1122.7037821702236,0.0004997447021289219,0.33828298624700626,6
Temp9am,1,0.5066416040100251,20.611180365228222,0.0034689176439625284,0.3183664160917621,6
Temp9am,0,0.5066416040100251,746.3742707761584,0.0034689176439625284,0.3183664160917621,6
Temp3pm,1,0.513421052631579,23.270592057559302,0.008748182875158089,0.32656503393760133,6
Temp3pm,0,0.513421052631579,1112.2983092495779,0.008748182875158089,0.32656503393760133,6
RainToday,1,0.5789473684210527,5.528682350434885e-28,0.24431896409749673,0.6098040248179332,6
RainToday,0,0.5789473684210527,1.370645822821508e-29,0.24431896409749673,0.6098040248179332,6
